Rank,Country or region,Total MarketCap,Total Companies,% of Global Market Cap
1,United States,$70.26 T,6769,46.85
2,China,$20.06 T,6674,13.38
3,Japan,$7.08 T,4044,4.72
4,India,$5.29 T,5192,3.53
5,United Kingdom,$4.25 T,1295,2.83
6,Canada,$3.86 T,2970,2.57
7,France,$3.32 T,657,2.21
8,Taiwan,$3.16 T,2241,2.11
9,Germany,$2.97 T,657,1.98
10,Switzerland,$2.66 T,246,1.77
11,Saudi Arabia,$2.53 T,360,1.69
12,South Korea,$2.36 T,2724,1.57
13,Australia,$2.03 T,1735,1.35
14,Netherlands,$1.7 T,155,1.13
15,Sweden,$1.35 T,849,0.9
16,Spain,$1.16 T,272,0.77
17,Italy,$1.12 T,427,0.75
18,United Arab Emirates,$1.1 T,148,0.73
19,Ireland,$1.05 T,80,0.7
20,Brazil,$972.57 B,346,0.65
21,Hong Kong,$951.29 B,1243,0.63
22,Indonesia,$887.18 B,923,0.59
23,Singapore,$851.92 B,618,0.57
24,Denmark,$658.62 B,165,0.44
25,Thailand,$618.68 B,933,0.41
26,Israel,$585.26 B,584,0.39
27,Russia,$565.21 B,203,0.38
28,Mexico,$524.95 B,79,0.35
29,South Africa,$497.46 B,214,0.33
30,Malaysia,$469.89 B,1078,0.31
31,Belgium,$408.17 B,131,0.27
32,Turkey,$402.91 B,585,0.27
33,Norway,$376.96 B,271,0.25
34,Finland,$358.24 B,182,0.24
35,Vietnam,$335.47 B,693,0.22
36,Poland,$265.94 B,664,0.18
37,Philippines,$241.47 B,271,0.16
38,Chile,$214.6 B,157,0.14
39,Austria,$198.7 B,69,0.13
40,Qatar,$175.28 B,54,0.12
41,Luxembourg,$173.66 B,64,0.12
42,Kuwait,$167.44 B,137,0.11
43,Zimbabwe,$153.97 B,5,0.1
44,Greece,$153.23 B,167,0.1
45,New Zealand,$123.59 B,117,0.08
46,Peru,$122.46 B,103,0.08
47,Colombia,$116.47 B,61,0.08
48,Morocco,$103.27 B,74,0.07
49,Portugal,$85.04 B,43,0.06
50,Kazakhstan,$79.77 B,19,0.05
51,Pakistan,$68.32 B,477,0.05
52,Romania,$62.39 B,183,0.04
53,Egypt,$61.43 B,218,0.04
54,Nigeria,$55.78 B,144,0.04
55,Argentina,$54.19 B,72,0.04
56,Czech Republic,$53.92 B,24,0.04
57,Hungary,$53.35 B,48,0.04
58,Oman,$36.42 B,103,0.02
59,Jordan,$33.61 B,119,0.02
60,Bangladesh,$28.24 B,358,0.02
61,Sri Lanka,$26.42 B,275,0.02
62,Ivory Coast,$21.3 B,44,0.01
63,Kenya,$21.01 B,56,0.01
64,Slovenia,$19.06 B,14,0.01
65,Bahrain,$18.57 B,28,0.01
66,Lebanon,$18.4 B,5,0.01
67,Mauritius,$18.17 B,97,0.01
68,Iceland,$17.04 B,28,0.01
69,Cyprus,$16.04 B,62,0.01
70,Malawi,$12.29 B,13,0.01
71,Jamaica,$11.47 B,94,0.01
72,Tunisia,$10.93 B,72,0.01
73,Malta,$9.16 B,39,0.01
74,Bulgaria,$8.43 B,78,0.01
75,Ghana,$8.41 B,21,0.01
76,Lithuania,$7.03 B,27,0.0
77,Ukraine,$6.81 B,8,0.0
78,Estonia,$6.2 B,33,0.0
79,Tanzania,$5.58 B,22,0.0
80,Croatia,$4.85 B,54,0.0
81,Slovakia,$4.66 B,8,0.0
82,Zambia,$4.47 B,20,0.0
83,Palestine,$4.17 B,32,0.0
84,Uganda,$3.62 B,10,0.0
85,Venezuela,$3.57 B,24,0.0
86,Botswana,$3.16 B,14,0.0
87,Serbia,$3.03 B,20,0.0
88,Namibia,$2.73 B,8,0.0
89,Latvia,$369.76 M,10,0.0
