Rank,Country or region,Total MarketCap,Total Companies,% of Global Market Cap
1,United States,$79.05 T,"6,870",47.01
2,China,$21.99 T,"6,816",13.08
3,Japan,$8.07 T,"4,107",4.8
4,India,$4.95 T,"5,432",2.94
5,United Kingdom,$4.85 T,"1,316",2.88
6,Taiwan,$4.6 T,"2,332",2.74
7,Canada,$4.33 T,"3,138",2.57
8,South Korea,$4 T,"2,802",2.38
9,France,$3.19 T,662,1.9
10,Germany,$2.98 T,687,1.77
11,Switzerland,$2.8 T,249,1.67
12,Saudi Arabia,$2.65 T,369,1.58
13,Australia,$2.14 T,"1,783",1.27
14,Netherlands,$2.01 T,161,1.2
15,Sweden,$1.41 T,869,0.84
16,Spain,$1.32 T,282,0.78
17,Italy,$1.23 T,440,0.73
18,Brazil,$1.18 T,357,0.7
19,Hong Kong,$1.08 T,"1,260",0.64
20,Singapore,$1.07 T,641,0.64
21,United Arab Emirates,$1.04 T,153,0.62
22,Ireland,$1 T,80,0.59
23,Israel,$753.01 B,614,0.45
24,Thailand,$725.51 B,957,0.43
25,Indonesia,$698.2 B,927,0.42
26,Mexico,$651.49 B,88,0.39
27,Denmark,$639.02 B,166,0.38
28,Russia,$604.36 B,203,0.36
29,South Africa,$549.9 B,216,0.33
30,Malaysia,$534.05 B,"1,118",0.32
31,Turkey,$506.96 B,606,0.3
32,Norway,$477.71 B,276,0.28
33,Belgium,$467.77 B,134,0.28
34,Finland,$442.9 B,189,0.26
35,Vietnam,$370.6 B,711,0.22
36,Poland,$320.05 B,684,0.19
37,Zimbabwe,$289.87 B,30,0.17
38,Chile,$262.99 B,158,0.16
39,Austria,$236.93 B,71,0.14
40,Luxembourg,$226.85 B,64,0.13
41,Philippines,$213.34 B,272,0.13
42,Qatar,$172.6 B,55,0.1
43,Kuwait,$171.06 B,139,0.1
44,Greece,$168.66 B,171,0.1
45,Peru,$154.22 B,104,0.09
46,Colombia,$149.63 B,61,0.09
47,New Zealand,$115.59 B,120,0.07
48,Morocco,$112.49 B,76,0.07
49,Kazakhstan,$107.74 B,20,0.06
50,Nigeria,$101.6 B,145,0.06
51,Portugal,$94.65 B,45,0.06
52,Argentina,$86.69 B,72,0.05
53,Romania,$80.65 B,248,0.05
54,Egypt,$75.56 B,225,0.04
55,Hungary,$68.4 B,50,0.04
56,Pakistan,$66.14 B,482,0.04
57,Czech Republic,$53.52 B,25,0.03
58,Oman,$48.32 B,105,0.03
59,Jordan,$41.54 B,160,0.02
60,Bangladesh,$27.82 B,359,0.02
61,Kenya,$26.43 B,60,0.02
62,Ivory Coast,$25.82 B,45,0.02
63,Sri Lanka,$25.52 B,278,0.02
64,Slovenia,$23.98 B,19,0.01
65,Cyprus,$23.68 B,69,0.01
66,Bahrain,$20.15 B,35,0.01
67,Lebanon,$18.28 B,5,0.01
68,Mauritius,$17.85 B,103,0.01
69,Iceland,$16.9 B,28,0.01
70,Ghana,$15.71 B,27,0.01
71,Tunisia,$14.36 B,73,0.01
72,Malawi,$13.64 B,13,0.01
73,Jamaica,$12.72 B,97,0.01
74,Bulgaria,$10.57 B,134,0.01
75,Malta,$10.18 B,42,0.01
76,Tanzania,$8.89 B,22,0.01
77,Lithuania,$7.79 B,27,0.0
78,Ukraine,$7.22 B,10,0.0
79,Estonia,$6.66 B,35,0.0
80,Venezuela,$6.19 B,27,0.0
81,Slovakia,$5.86 B,9,0.0
82,Zambia,$5.66 B,22,0.0
83,Croatia,$5.11 B,59,0.0
84,Palestine,$4.42 B,37,0.0
85,Uganda,$4.13 B,10,0.0
86,Serbia,$3.63 B,23,0.0
87,Botswana,$3.35 B,14,0.0
88,Namibia,$3.27 B,12,0.0
89,Latvia,$451.74 M,11,0.0
