Empire,Area,Value
1,Total,510329.77
1,Canada,95948.26
1,United Kingdom,52076.54
1,Australia,36349.45
1,South Africa,31511.48
1,Malaysia,24213.41
1,New Zealand,16251.42
1,Bangladesh,15178.16
1,Singapore,14199.29
1,Nigeria,12424.51
1,Zambia,11610.18
1,Kenya,11174.08
1,Ghana,10711.06
1,Namibia,10239.18
1,Uganda,10231.06
1,Sri Lanka,10195.71
1,Malawi,10087.47
1,Eswatini,9976.49
1,Belize,9625.42
1,Lesotho,9284.94
1,Cyprus,8722.36
1,Trinidad and Tobago,8681.24
1,Jamaica,8425.17
1,Malta,8372.0
1,Saint Vincent and the Grenadines,7958.83
1,Dominica,7797.15
1,Barbados,7771.03
1,Guyana,7721.64
1,Saint Kitts and Nevis,7695.33
1,Antigua and Barbuda,7667.29
1,Maldives,7640.57
1,Saint Lucia,7615.63
1,Grenada,7568.03
1,Botswana,5405.39
2,United States of America,495824.26
2,Total,495824.26
3,Total,668456.9299999999
3,China,633139.45
3,Taiwan,35317.48
