Rank,Company,Market Cap
1,"Saudi Aramco
TADAWUL-2222",$1.67 T
2,"Al Rajhi Banking and Investment
TADAWUL-1120",$112.75 B
3,"Saudi Arabian Mining Company (Ma'aden)
TADAWUL-1211",$66.49 B
4,"The Saudi National Bank
TADAWUL-1180",$63.13 B
5,"Saudi Telecom Company
TADAWUL-7010",$60.12 B
6,"ACWA Power Company
TADAWUL-2082",$49.39 B
7,"Saudi Basic Industries
TADAWUL-2010",$48.84 B
8,"Dr. Sulaiman Al Habib Medical Services Group Company
TADAWUL-4013",$25.41 B
9,"Riyad Bank
TADAWUL-1010",$21.65 B
10,"Elm Company
TADAWUL-7203",$19.61 B
