country,empire,gdp_ppp_billions
United Kingdom,1.0,4448
Canada,1.0,2730
Australia,1.0,1980
Nigeria,1.0,1585
Malaysia,1.0,1472
South Africa,1.0,1026
Singapore,1.0,953
Kenya,1.0,402
New Zealand,1.0,299
Ghana,1.0,295
Tanzania,1.0,294
Uganda,1.0,187
Zambia,1.0,98
Zimbabwe,1.0,94
Cyprus,1.0,61
Botswana,1.0,53
Trinidad and Tobago,1.0,52
Papua New Guinea,1.0,48
Malawi,1.0,43
Malta,1.0,43
Mauritius,1.0,41
Namibia,1.0,38
Jamaica,1.0,35
Fiji,1.0,16
Barbados,1.0,7
United States,2.0,30507
China,3.0,40716
Taiwan,3.0,1966
Hong Kong,3.0,590
