Empire,Rank,City,Country,Population,Scraped_Date
1,1,London,United Kingdom,9927020,2026-02-01 02:52:40
1,2,Kuala Lumpur,Malaysia,9175810,2026-02-01 02:52:40
1,3,Johannesburg,South Africa,6559190,2026-02-01 02:52:40
1,4,Toronto,Canada,6551460,2026-02-01 02:52:40
1,5,Singapore,Singapore,6195860,2026-02-01 02:52:40
1,6,Nairobi,Kenya,6002290,2026-02-01 02:52:40
1,7,Melbourne,Australia,5464920,2026-02-01 02:52:40
1,8,Sydney,Australia,5312640,2026-02-01 02:52:40
1,9,Cape Town,South Africa,5147500,2026-02-01 02:52:40
1,10,Kampala,Uganda,4491110,2026-02-01 02:52:40
2,1,New York,United States,8346955,2026-02-01 02:52:40
2,2,Los Angeles,United States,3869891,2026-02-01 02:52:40
2,3,Chicago,United States,2709364,2026-02-01 02:52:40
2,4,Houston,United States,2435715,2026-02-01 02:52:40
2,5,Phoenix,United States,1703449,2026-02-01 02:52:40
2,6,San Antonio,United States,1570314,2026-02-01 02:52:40
2,7,Philadelphia,United States,1560480,2026-02-01 02:52:40
2,8,San Diego,United States,1414266,2026-02-01 02:52:40
2,9,Dallas,United States,1337417,2026-02-01 02:52:40
2,10,Fort Worth,United States,1050336,2026-02-01 02:52:40
3,1,Shanghai,China,31049800,2026-02-01 02:52:40
3,2,Beijing,China,22983400,2026-02-01 02:52:40
3,3,Chongqing,China,18531600,2026-02-01 02:52:40
3,4,Guangzhou,China,15147900,2026-02-01 02:52:40
3,5,Tianjin,China,14933500,2026-02-01 02:52:40
3,6,Shenzhen,China,13770000,2026-02-01 02:52:40
3,7,Nanjing,China,10380200,2026-02-01 02:52:40
3,8,Chengdu,China,10163400,2026-02-01 02:52:40
3,9,Xi-an,China,9409700,2026-02-01 02:52:40
3,10,Wuhan,China,9121840,2026-02-01 02:52:40
