Rank,Country or region,Total MarketCap,Total Companies,% of Global Market Cap
1,United States,$80.68 T,"6,947",47.37
2,China,$21.62 T,"6,819",12.69
3,Japan,$8.27 T,"4,112",4.86
4,Taiwan,$5.17 T,"2,333",3.04
5,India,$4.96 T,"5,439",2.91
6,United Kingdom,$4.78 T,"1,316",2.81
7,South Korea,$4.57 T,"2,805",2.68
8,Canada,$4.24 T,"3,145",2.49
9,France,$3.2 T,662,1.88
10,Germany,$2.94 T,693,1.73
11,Switzerland,$2.91 T,251,1.71
12,Saudi Arabia,$2.52 T,369,1.48
13,Netherlands,$2.14 T,161,1.26
14,Australia,$2.06 T,"1,786",1.21
15,Spain,$1.38 T,282,0.81
16,Sweden,$1.38 T,871,0.81
17,Italy,$1.29 T,440,0.76
18,Brazil,$1.12 T,359,0.66
19,Singapore,$1.09 T,639,0.64
20,United Arab Emirates,$1.05 T,154,0.62
21,Ireland,$1.01 T,99,0.59
22,Hong Kong,$981.99 B,"1,260",0.58
23,Thailand,$764.16 B,958,0.45
24,Israel,$689.04 B,615,0.4
25,Denmark,$644.68 B,167,0.38
26,Mexico,$629.45 B,88,0.37
27,Russia,$602.18 B,203,0.35
28,Indonesia,$545.6 B,927,0.32
29,South Africa,$544.25 B,221,0.32
30,Malaysia,$503.2 B,"1,119",0.3
31,Turkey,$495.13 B,606,0.29
32,Belgium,$483.02 B,134,0.28
33,Norway,$427.12 B,277,0.25
34,Finland,$423.87 B,189,0.25
35,Vietnam,$373.65 B,713,0.22
36,Zimbabwe,$338.27 B,39,0.2
37,Poland,$312.94 B,685,0.18
38,Chile,$257.19 B,159,0.15
39,Austria,$246.81 B,71,0.14
40,Luxembourg,$215.6 B,65,0.13
41,Philippines,$212.86 B,272,0.12
42,Greece,$177.36 B,171,0.1
43,Peru,$169.53 B,105,0.1
44,Qatar,$168.52 B,55,0.1
45,Kuwait,$166.91 B,139,0.1
46,Colombia,$159.65 B,62,0.09
47,New Zealand,$115.13 B,120,0.07
48,Morocco,$108.43 B,76,0.06
49,Kazakhstan,$103.15 B,20,0.06
50,Nigeria,$91.73 B,145,0.05
51,Portugal,$90.61 B,45,0.05
52,Romania,$87.43 B,248,0.05
53,Argentina,$80.94 B,73,0.05
54,Egypt,$80.91 B,226,0.05
55,Pakistan,$72.43 B,483,0.04
56,Hungary,$71.04 B,51,0.04
57,Czech Republic,$51.93 B,25,0.03
58,Oman,$45.77 B,105,0.03
59,Jordan,$40 B,161,0.02
60,Bangladesh,$29.18 B,360,0.02
61,Kenya,$28.76 B,60,0.02
62,Ivory Coast,$28.47 B,45,0.02
63,Sri Lanka,$24.03 B,279,0.01
64,Cyprus,$23.99 B,69,0.01
65,Slovenia,$23.8 B,19,0.01
66,Bahrain,$20.78 B,35,0.01
67,Lebanon,$18.28 B,5,0.01
68,Mauritius,$17.54 B,105,0.01
69,Iceland,$16.57 B,28,0.01
70,Tunisia,$16.47 B,73,0.01
71,Ghana,$14.79 B,27,0.01
72,Malawi,$13.46 B,13,0.01
73,Jamaica,$13.1 B,99,0.01
74,Bulgaria,$11.04 B,134,0.01
75,Malta,$10.12 B,42,0.01
76,Tanzania,$8.93 B,22,0.01
77,Lithuania,$7.56 B,27,0.0
78,Ukraine,$7.04 B,10,0.0
79,Estonia,$6.39 B,35,0.0
80,Slovakia,$5.74 B,9,0.0
81,Zambia,$5.73 B,22,0.0
82,Croatia,$5.39 B,59,0.0
83,Venezuela,$5.2 B,27,0.0
84,Palestine,$4.59 B,37,0.0
85,Uganda,$4.35 B,10,0.0
86,Serbia,$3.56 B,23,0.0
87,Namibia,$3.41 B,12,0.0
88,Botswana,$3.36 B,14,0.0
89,Latvia,$442.57 M,11,0.0
