Empire,Empire_Rank,Institution,Country,Research Share,Global_Rank
1,1,University of Oxford,United Kingdom,497.89,22
1,2,University of Cambridge,United Kingdom,451.4,29
1,3,University of Toronto (U of T),Canada,426.1,36
1,4,National University of Singapore (NUS),Singapore,400.15,42
1,5,Imperial College London (ICL),United Kingdom,295.72,61
1,6,UCL,United Kingdom,285.85,64
1,7,Nanyang Technological University (NTU),Singapore,269.93,69
1,8,McGill University,Canada,238.73,80
1,9,Monash University,Australia,203.06,101
1,10,The University of British Columbia (UBC),Canada,196.87,105
2,1,Harvard University,United States of America,1251.7,2
2,2,Stanford University,United States of America,676.38,13
2,3,Massachusetts Institute of Technology (MIT),United States of America,588.32,18
2,4,University of Michigan (U-M),United States of America,468.97,26
2,5,National Institutes of Health (NIH),United States of America,440.94,32
2,6,University of Pennsylvania (Penn),United States of America,424.95,37
2,7,Yale University,United States of America,418.35,38
2,8,"University of California, Berkeley (UC Berkeley)",United States of America,416.26,40
2,9,"University of California, Los Angeles (UCLA)",United States of America,389.17,43
2,10,Columbia University in the City of New York (CU),United States of America,382.35,45
3,1,Chinese Academy of Sciences (CAS),China,3183.55,1
3,2,Zhejiang University (ZJU),China,1040.62,3
3,3,Tsinghua University,China,1022.43,4
3,4,Shanghai Jiao Tong University (SJTU),China,948.29,5
3,5,University of Science and Technology of China (USTC),China,939.75,6
3,6,University of Chinese Academy of Sciences (UCAS),China,919.51,7
3,7,Peking University (PKU),China,913.35,8
3,8,Nanjing University (NJU),China,817.62,9
3,9,Sun Yat-sen University (SYSU),China,769.1,11
3,10,Fudan University,China,717.63,12
