Rank,Country or region,Total MarketCap,Total Companies,% of Global Market Cap
1,United States,$71.9 T,"6,868",44.42
2,China,$22.04 T,"6,788",13.62
3,Japan,$8.49 T,"4,087",5.25
4,India,$5.13 T,"5,375",3.17
5,United Kingdom,$4.8 T,"1,312",2.97
6,Canada,$4.36 T,"3,109",2.69
7,Taiwan,$3.97 T,"2,329",2.45
8,South Korea,$3.83 T,"2,787",2.37
9,France,$3.51 T,660,2.17
10,Germany,$3.19 T,685,1.97
11,Switzerland,$3.02 T,247,1.87
12,Saudi Arabia,$2.44 T,368,1.51
13,Australia,$2.22 T,"1,763",1.37
14,Netherlands,$1.89 T,160,1.17
15,Sweden,$1.52 T,865,0.94
16,Spain,$1.36 T,278,0.84
17,Italy,$1.26 T,436,0.78
18,Brazil,$1.24 T,357,0.77
19,Hong Kong,$1.14 T,"1,260",0.7
20,United Arab Emirates,$1.12 T,152,0.69
21,Ireland,$1.07 T,80,0.66
22,Singapore,$975.99 B,637,0.6
23,Indonesia,$867.05 B,926,0.54
24,Thailand,$750.57 B,952,0.46
25,Mexico,$676.4 B,85,0.42
26,Israel,$673.6 B,606,0.42
27,Russia,$624.44 B,203,0.39
28,South Africa,$624.44 B,216,0.39
29,Denmark,$613.03 B,165,0.38
30,Malaysia,$530.08 B,"1,089",0.33
31,Belgium,$481.11 B,134,0.3
32,Turkey,$470.95 B,598,0.29
33,Norway,$453.62 B,274,0.28
34,Finland,$425.64 B,186,0.26
35,Vietnam,$376.46 B,708,0.23
36,Poland,$320.78 B,676,0.2
37,Zimbabwe,$314.66 B,29,0.19
38,Chile,$277.75 B,158,0.17
39,Philippines,$245.87 B,272,0.15
40,Austria,$236.48 B,71,0.15
41,Luxembourg,$219.77 B,64,0.14
42,Qatar,$179.97 B,55,0.11
43,Greece,$172.68 B,169,0.11
44,Peru,$166.97 B,104,0.1
45,Kuwait,$162.78 B,138,0.1
46,Colombia,$143.85 B,61,0.09
47,New Zealand,$122.99 B,119,0.08
48,Morocco,$107.57 B,76,0.07
49,Portugal,$96.21 B,45,0.06
50,Kazakhstan,$92.37 B,19,0.06
51,Nigeria,$83.26 B,145,0.05
52,Romania,$79.57 B,191,0.05
53,Egypt,$73.86 B,223,0.05
54,Argentina,$71.43 B,72,0.04
55,Pakistan,$68.08 B,481,0.04
56,Hungary,$65.18 B,50,0.04
57,Czech Republic,$53.79 B,25,0.03
58,Oman,$45.39 B,104,0.03
59,Jordan,$38.44 B,155,0.02
60,Bangladesh,$29.66 B,358,0.02
61,Sri Lanka,$27.21 B,278,0.02
62,Ivory Coast,$27 B,45,0.02
63,Kenya,$26.42 B,58,0.02
64,Slovenia,$24.09 B,18,0.01
65,Cyprus,$23.84 B,67,0.01
66,Bahrain,$20.81 B,33,0.01
67,Mauritius,$19.46 B,102,0.01
68,Lebanon,$18.28 B,5,0.01
69,Iceland,$17.94 B,28,0.01
70,Tunisia,$13.84 B,73,0.01
71,Ghana,$13.67 B,24,0.01
72,Jamaica,$12.92 B,97,0.01
73,Malawi,$11.61 B,13,0.01
74,Bulgaria,$10.91 B,130,0.01
75,Malta,$10.23 B,42,0.01
76,Tanzania,$9.37 B,22,0.01
77,Lithuania,$7.65 B,27,0.0
78,Ukraine,$7.44 B,9,0.0
79,Venezuela,$7.43 B,25,0.0
80,Estonia,$6.67 B,35,0.0
81,Zambia,$5.1 B,20,0.0
82,Croatia,$5.07 B,58,0.0
83,Slovakia,$4.89 B,9,0.0
84,Uganda,$4.61 B,10,0.0
85,Palestine,$4.34 B,36,0.0
86,Serbia,$3.68 B,22,0.0
87,Botswana,$3.4 B,14,0.0
88,Namibia,$3.29 B,10,0.0
89,Latvia,$443.62 M,11,0.0
