Empire,Area,Value
1,Total,498660.93
1,Canada,92031.33
1,United Kingdom,52079.43
1,Australia,34620.66
1,South Africa,30252.45
1,Malaysia,22976.74
1,New Zealand,15601.15
1,Bangladesh,14370.57
1,Singapore,13580.39
1,Nigeria,11876.95
1,Zambia,11610.18
1,Ghana,10711.06
1,Kenya,10697.86
1,Namibia,10239.18
1,Uganda,10231.06
1,Malawi,10087.47
1,Eswatini,9976.49
1,Sri Lanka,9765.9
1,Belize,9625.42
1,Lesotho,9284.94
1,Cyprus,8722.36
1,Trinidad and Tobago,8681.24
1,Jamaica,8425.17
1,Malta,8372.04
1,Saint Vincent and the Grenadines,7958.83
1,Dominica,7797.15
1,Barbados,7771.03
1,Guyana,7721.64
1,Saint Kitts and Nevis,7695.33
1,Antigua and Barbuda,7667.29
1,Maldives,7640.57
1,Saint Lucia,7615.63
1,Grenada,7568.03
1,Botswana,5405.39
2,United States of America,473251.41000000003
2,Total,473251.41000000003
3,Total,616009.75
3,China,582352.18
3,Taiwan,33657.57
