Rank,Company,Market Cap
1,"Saudi Aramco
TADAWUL-2222",$1.61 T
2,"Al Rajhi Banking and Investment
TADAWUL-1120",$107.71 B
3,"Saudi Arabian Mining Company (Ma'aden)
TADAWUL-1211",$72.63 B
4,"The Saudi National Bank
TADAWUL-1180",$65.91 B
5,"Saudi Telecom Company
TADAWUL-7010",$55.63 B
6,"Saudi Basic Industries
TADAWUL-2010",$43.35 B
7,"ACWA Power Company
TADAWUL-2082",$33.89 B
8,"Riyad Bank
TADAWUL-1010",$22.13 B
9,"Dr. Sulaiman Al Habib Medical Services Group Company
TADAWUL-4013",$21.56 B
10,"Saudi Awwal Bank
TADAWUL-1060",$18.75 B
