Empire,Rank,City,Country,Population,Scraped_Date
1,1,London,United Kingdom,9840740,2026-01-01 02:21:08
1,2,Kuala Lumpur,Malaysia,9000280,2026-01-01 02:21:08
1,3,Toronto,Canada,6491290,2026-01-01 02:21:08
1,4,Johannesburg,South Africa,6444580,2026-01-01 02:21:08
1,5,Singapore,Singapore,6157270,2026-01-01 02:21:08
1,6,Nairobi,Kenya,5766990,2026-01-01 02:21:08
1,7,Melbourne,Australia,5391890,2026-01-01 02:21:08
1,8,Sydney,Australia,5248790,2026-01-01 02:21:08
1,9,Cape Town,South Africa,5063580,2026-01-01 02:21:08
1,10,Montreal,Canada,4377310,2026-01-01 02:21:08
2,1,New York,United States,8412513,2026-01-01 02:21:08
2,2,Los Angeles,United States,3874297,2026-01-01 02:21:08
2,3,Chicago,United States,2715336,2026-01-01 02:21:08
2,4,Houston,United States,2412920,2026-01-01 02:21:08
2,5,Phoenix,United States,1688306,2026-01-01 02:21:08
2,6,Philadelphia,United States,1567198,2026-01-01 02:21:08
2,7,San Antonio,United States,1548485,2026-01-01 02:21:08
2,8,San Diego,United States,1409359,2026-01-01 02:21:08
2,9,Dallas,United States,1331752,2026-01-01 02:21:08
2,10,Fort Worth,United States,1029221,2026-01-01 02:21:08
3,1,Shanghai,China,30482100,2026-01-01 02:21:08
3,2,Beijing,China,22596500,2026-01-01 02:21:08
3,3,Chongqing,China,18171200,2026-01-01 02:21:08
3,4,Guangzhou,China,14878700,2026-01-01 02:21:08
3,5,Tianjin,China,14704100,2026-01-01 02:21:08
3,6,Shenzhen,China,13545400,2026-01-01 02:21:08
3,7,Nanjing,China,10174900,2026-01-01 02:21:08
3,8,Chengdu,China,9998870,2026-01-01 02:21:08
3,9,Xi-an,China,9222080,2026-01-01 02:21:08
3,10,Wuhan,China,8986480,2026-01-01 02:21:08
