Empire,Area,Value
1,Total,487497.99
1,Canada,92031.38
1,United Kingdom,50097.57
1,Australia,34620.66
1,South Africa,30244.94
1,Malaysia,22974.87
1,New Zealand,15601.32
1,Bangladesh,14453.789999999999
1,Singapore,13580.39
1,Nigeria,11932.5
1,Zambia,11126.36
1,Kenya,10693.47
1,Ghana,10249.960000000001
1,Namibia,9829.21
1,Sri Lanka,9675.64
1,Eswatini,9573.87
1,Uganda,9369.26
1,Lesotho,9282.43
1,Malawi,9274.32
1,Belize,9232.63
1,Cyprus,8358.02
1,Trinidad and Tobago,8326.94
1,Malta,8038.06
1,Dominica,7797.15
1,Jamaica,7747.3099999999995
1,Saint Vincent and the Grenadines,7643.24
1,Barbados,7452.44
1,Guyana,7388.9
1,Antigua and Barbuda,7353.35
1,Maldives,7327.59
1,Saint Kitts and Nevis,7070.18
1,Saint Lucia,7002.15
1,Grenada,6961.53
1,Botswana,5186.56
2,United States of America,473232.61
2,Total,473232.61
3,Total,616023.2899999999
3,China,582365.72
3,Taiwan,33657.57
