country,empire,gdp_ppp_billions
United Kingdom,1.0,4454.72
Canada,1.0,2722.8
Australia,1.0,1981.67
Nigeria,1.0,1584.96
Malaysia,1.0,1478.14
South Africa,1.0,1026.5
Singapore,1.0,952.64
Kenya,1.0,401.97
New Zealand,1.0,298.93
Ghana,1.0,295.12
Tanzania,1.0,293.59
Uganda,1.0,187.11
Zambia,1.0,98.16
Zimbabwe,1.0,93.87
Botswana,1.0,52.96
Trinidad and Tobago,1.0,51.68
Papua New Guinea,1.0,48.1
Malta,1.0,43.19
Malawi,1.0,42.77
Mauritius,1.0,41.35
Namibia,1.0,37.73
Jamaica,1.0,34.68
Fiji,1.0,15.66
Barbados,1.0,6.78
Cyprus,1.0,0.0
United States,2.0,30615.74
Taiwan,3.0,1990.27
Hong Kong,3.0,589.81
China,3.0,0.0
