Empire,Country,City,Name,Length_km
Empire 1.0: Steam & Colonies British Commonwealth excluding India,Australia,Sydney,Sydney Metro,52.0
Empire 1.0: Steam & Colonies British Commonwealth excluding India,Bangladesh,Dhaka,Dhaka Metro Rail,20.1
Empire 1.0: Steam & Colonies British Commonwealth excluding India,Canada,Montreal,Montreal Metro,69.2
Empire 1.0: Steam & Colonies British Commonwealth excluding India,Canada,Montreal,Réseau express métropolitain,16.6
Empire 1.0: Steam & Colonies British Commonwealth excluding India,Canada,Toronto,Toronto subway[60],70.5
Empire 1.0: Steam & Colonies British Commonwealth excluding India,Canada,Vancouver,SkyTrain,79.6
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Beijing,Beijing Subway[72],879.0
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Changchun,Changchun Rail Transit,117.1
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Changsha,Changsha Metro,218.28
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Changzhou,Changzhou Metro,54.0
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Chengdu,Chengdu Metro,659.4
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Chongqing,Chongqing Rail Transit,560.04
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Dalian,Dalian Metro[86],237.7
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Dongguan,Dongguan Rail Transit,37.7
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Foshan,Foshan Metro[Nb 23],134.9
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Fuzhou,Fuzhou Metro,201.4
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Guangzhou,Guangzhou Metro[Nb 25][Nb 23],768.4
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Guiyang,Guiyang Metro,149.05
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Hangzhou,Hangzhou Metro[96],516.2
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Harbin,Harbin Metro,91.57
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Hefei,Hefei Metro,238.92
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Hohhot,Hohhot Metro,49.0
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Hong Kong,Mass Transit Railway,209.1
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Jinan,Jinan Metro,96.3
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Jinhua,Jinhua Rail Transit,118.5
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Kunming,Kunming Metro,165.85
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Lanzhou,Lanzhou Metro,35.0
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Luoyang,Luoyang Subway,43.6
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Macau,Macau Light Rapid Transit,16.3
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Nanchang,Nanchang Metro,160.2
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Nanjing,Nanjing Metro[117],556.69
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Nanning,Nanning Metro[121],132.0
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Nantong,Nantong Rail Transit,60.0
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Ningbo,Ningbo Rail Transit[124],262.0
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Qingdao,Qingdao Metro,352.68
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Shanghai,Shanghai Metro,808.0
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Shaoxing,Shaoxing Metro,65.2
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Shenyang,Shenyang Metro,202.7
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Shenzhen,Shenzhen Metro,583.35
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Shijiazhuang,Shijiazhuang Metro,76.5
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Suzhou,Suzhou Metro,346.76
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Taiyuan,Taiyuan Metro,52.384
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Taizhou,Taizhou Rail Transit,52.4
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Tianjin,Tianjin Metro,355.0
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Ürümqi,Ürümqi Metro,32.88
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Wenzhou,Wenzhou Rail Transit,116.5
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Wuhan,Wuhan Metro,518.1
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Wuhu,Wuhu Rail Transit,46.2
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Wuxi,Wuxi Metro,145.2
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Xiamen,Xiamen Metro,98.4
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Xi'an,Xi'an Metro,402.3
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Xuzhou,Xuzhou Metro,95.452
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",China,Zhengzhou,Zhengzhou Metro,449.81
Empire 1.0: Steam & Colonies British Commonwealth excluding India,Dominican Republic,Santo Domingo,Santo Domingo Metro,31.0
Empire 1.0: Steam & Colonies British Commonwealth excluding India,Malaysia,Kuala Lumpur,Rapid KL[Nb 65],204.8
Empire 1.0: Steam & Colonies British Commonwealth excluding India,Nigeria,Lagos,Lagos Rail Mass Transit[Nb 75],13.0
Empire 1.0: Steam & Colonies British Commonwealth excluding India,Pakistan,Lahore,Lahore Metro,27.1
Empire 1.0: Steam & Colonies British Commonwealth excluding India,Singapore,Singapore,Mass Rapid Transit,242.6
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",Taiwan,Kaohsiung,Kaohsiung Rapid Transit,45.5
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",Taiwan,Taipei,Taipei Metro,152.9
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",Taiwan,Taichung,Taichung Metro[390],16.7
"Empire 3.0: Rare Earths, Renewables & Robotics China + Hong Kong + taiwan",Taiwan,Taoyuan,Taoyuan Metro,53.1
Empire 1.0: Steam & Colonies British Commonwealth excluding India,United Kingdom,Glasgow,Glasgow Subway,10.4
Empire 1.0: Steam & Colonies British Commonwealth excluding India,United Kingdom,London,London Underground[414],402.0
Empire 1.0: Steam & Colonies British Commonwealth excluding India,United Kingdom,London,Docklands Light Railway,34.0
Empire 2.0: Oil & Silicon United States,United States,Atlanta,MARTA,76.6
Empire 2.0: Oil & Silicon United States,United States,Baltimore,Baltimore Metro SubwayLink,24.9
Empire 2.0: Oil & Silicon United States,United States,Boston,MBTA subway[Nb 96],63.9
Empire 2.0: Oil & Silicon United States,United States,Chicago,"Chicago ""L""[Nb 76]",165.4
Empire 2.0: Oil & Silicon United States,United States,Cleveland,Red Line (RTA Rapid Transit),31.0
Empire 2.0: Oil & Silicon United States,United States,Honolulu,Skyline,17.4
Empire 2.0: Oil & Silicon United States,United States,Los Angeles,Metro Rail[Nb 100],28.0
Empire 2.0: Oil & Silicon United States,United States,Miami,Metrorail,39.3
Empire 2.0: Oil & Silicon United States,United States,New York City,New York City Subway,399.0
Empire 2.0: Oil & Silicon United States,United States,New York City,Staten Island Railway,22.5
Empire 2.0: Oil & Silicon United States,United States,New York City,PATH,22.2
Empire 2.0: Oil & Silicon United States,United States,Philadelphia,"SEPTA Metro: L, B, M[440]",59.1
Empire 2.0: Oil & Silicon United States,United States,Philadelphia,PATCO Speedline,22.9
Empire 2.0: Oil & Silicon United States,United States,San Francisco (Bay Area),BART[Nb 107],192.0
Empire 2.0: Oil & Silicon United States,United States,"Washington, D.C.",Washington Metro,208.0
