Empire,Country,City or area,Name,Length_km
3,China,Beijing,Beijing Suburban Railway,364.7
3,China,Changsha,Changsha–Zhuzhou–Xiangtan intercity railway,97.6
3,China,Chengdu,Chengdu Commuter Rail,194.3
3,China,Guiyang,Guiyang railway loop line,113.0
3,China,Haikou,Haikou Suburban Rail,51.4
3,China,Lanzhou,Lanzhou–Zhongchuan Airport intercity railway,61.0
3,China,Ningbo,Ningbo Suburban Railway,48.7
3,China,Pearl River Delta,Pearl River Delta Metropolitan Region intercity railway,379.034
3,China,Shanghai,Shanghai Suburban Railway,114.978
3,China,Shaoxing,Shaoxing Tourism New Transit railway,80.2
3,China,Taizhou,Taizhou Urban Train,104.338
3,Hong Kong[Note 4],Hong Kong,MTR[Note 5],119.7
1,Malaysia,Greater Kuala Lumpur,KTM Komuter,269.0
1,Malaysia,Greater Kuala Lumpur,Express Rail Link,57.0
1,Malaysia,Greater Kota Kinabalu,Western Sabah Railway Line,134.0
1,Malaysia,Greater Penang,KTM Komuter Northern Sector,272.0
1,Sri Lanka,Colombo,Sri Lanka Railways,1436.0
3,Taiwan,Greater Taipei-Taoyuan-Hsinchu,Taiwan Railway Administration,0.0
3,Taiwan,Taichung,Taiwan Railway Administration,0.0
3,Taiwan,Tainan-Kaohsiung,Taiwan Railway Administration,0.0
