Empire,Company,Country,Logo,Market Cap
1,"AstraZeneca PLC
AZN",United Kingdom,https://static.marketcapwatch.com/logo/stock/astrazeneca.svg?v=1747013806,$260.83 B
1,"HSBC Holdings plc
LON-HSBA",United Kingdom,https://static.marketcapwatch.com/logo/stock/lon-hsba.svg,$222.2 B
1,"Linde plc
LIN",United Kingdom,https://static.marketcapwatch.com/logo/stock/linde.svg,$211.43 B
1,"SHELL PLC
AMS-SHELL",United Kingdom,https://static.marketcapwatch.com/logo/stock/ams-shell.svg?v=1747014307,$208.59 B
1,"Shopify
SHOP",Canada,https://static.marketcapwatch.com/logo/stock/shopify.svg,$205.03 B
1,"Royal Bank of Canada
RY",Canada,https://static.marketcapwatch.com/logo/stock/tsx-ry.png,$204.24 B
1,"Commonwealth Bank of Australia
ASX-CBA",Australia,https://static.marketcapwatch.com/logo/stock/asx-cba.svg?v=1747015064,$182.76 B
1,"Arm Holdings plc
ARM",United Kingdom,https://static.marketcapwatch.com/logo/stock/arm-holdings.svg,$175.38 B
1,"Unilever PLC
LON-ULVR",United Kingdom,https://static.marketcapwatch.com/logo/stock/lon-ulvr.svg,$155.91 B
1,"Delta Corporation Limited
ZMSE-DLTA",Zimbabwe,https://static.marketcapwatch.com/logo/stock/zmse-dlta.jpeg?v=1747016188,$148.53 B
2,"NVIDIA
NVDA",United States,https://static.marketcapwatch.com/logo/stock/nvidia.svg,$4.45 T
2,"Microsoft
MSFT",United States,https://static.marketcapwatch.com/logo/stock/microsoft.svg,$3.82 T
2,"Apple
AAPL",United States,https://static.marketcapwatch.com/logo/stock/apple.svg,$3.74 T
2,"Alphabet (Google)
GOOG",United States,https://static.marketcapwatch.com/logo/stock/alphabet-google.svg,$3.07 T
2,"Amazon
AMZN",United States,https://static.marketcapwatch.com/logo/stock/amazon.svg,$2.27 T
2,"Meta Platforms
META",United States,https://static.marketcapwatch.com/logo/stock/meta-platforms.svg,$1.8 T
2,"Broadcom
AVGO",United States,https://static.marketcapwatch.com/logo/stock/broadcom.svg,$1.65 T
2,"Tesla
TSLA",United States,https://static.marketcapwatch.com/logo/stock/tesla.svg,$1.46 T
2,"Berkshire Hathaway
BRK.B",United States,https://static.marketcapwatch.com/logo/stock/berkshire.svg,$1.06 T
2,"Walmart
WMT",United States,https://static.marketcapwatch.com/logo/stock/walmart.svg,$858.92 B
3,"TSMC
TSM",Taiwan,https://static.marketcapwatch.com/logo/stock/tsmc.svg,$1.23 T
3,"Tencent
HKG-0700",China,https://static.marketcapwatch.com/logo/stock/tencent.png?v=1758679664,$708.2 B
3,"Alibaba
BABA",China,https://static.marketcapwatch.com/logo/stock/alibaba.svg,$373.24 B
3,"Agricultural Bank of China
SHA-601288",China,https://static.marketcapwatch.com/logo/stock/abc.svg,$363.41 B
3,"ICBC
SHA-601398",China,https://static.marketcapwatch.com/logo/stock/icbc.svg?v=1747790028,$353.14 B
3,"China Construction Bank
HKG-0939",China,https://static.marketcapwatch.com/logo/stock/ccbc.svg?v=1747013395,$263.27 B
3,"Kweichow Moutai
SHA-600519",China,https://static.marketcapwatch.com/logo/stock/moutai.svg,$255.63 B
3,"China Mobile
SHA-600941",China,https://static.marketcapwatch.com/logo/stock/china-mobile.svg,$241.19 B
3,"Contemporary Amperex
SHE-300750",China,https://static.marketcapwatch.com/logo/stock/she-300750.svg,$230.29 B
3,"Bank of China Limited
SHA-601988",China,https://static.marketcapwatch.com/logo/stock/bank-china.svg,$224.81 B
